model label	region	model fold	sequence length	val spearman	test spearman
BiLSTM	downstream	3	24	0.8633432972032901	0.8611794658735997
BiLSTM	downstream	4	24	0.8662431640726215	0.8613298191936349
BiLSTM	downstream	5	24	0.8584153689779591	0.8628444834538218
BiLSTM	downstream	6	24	0.8617216683571601	0.8613681435437883
BiLSTM	downstream	7	24	0.8604374438681571	0.8627225717699185
BiLSTM	downstream	8	24	0.8357846862517834	0.8632952294534338
BiLSTM	downstream	9	24	0.8654808020397423	0.8614390041180825
BiLSTM	downstream	10	24	0.85007360005047	0.8625695971261134
BiLSTM	downstream	1	25	0.8361547231882451	0.8662091613112042
BiLSTM	downstream	2	25	0.8625742483584138	0.8675153533881356
BiLSTM	downstream	3	25	0.8681007728058161	0.8660038160355645
BiLSTM	downstream	4	25	0.8694255558005195	0.8661084055770523
BiLSTM	downstream	5	25	0.8611841117514326	0.8652437801452142
BiLSTM	downstream	6	25	0.8669491052410699	0.8654730880094684
BiLSTM	downstream	7	25	0.8676745229346544	0.8668467600645533
BiLSTM	downstream	8	25	0.8421196761116541	0.8666850848493914
BiLSTM	downstream	9	25	0.8723940375217177	0.8680899077053484
BiLSTM	downstream	10	25	0.8555448688093701	0.8673296123493416
BiLSTM	downstream	1	26	0.8438320113336151	0.8730130188288739
BiLSTM	downstream	2	26	0.8653557517946899	0.8710047501094922
BiLSTM	downstream	3	26	0.8729439296294805	0.8708219797072757
BiLSTM	downstream	4	26	0.8777211379431409	0.8742961109588357
BiLSTM	downstream	5	26	0.8672799365352402	0.871310123059307
BiLSTM	downstream	6	26	0.8720956090378889	0.8709662771830265
BiLSTM	downstream	7	26	0.8733926070417655	0.8725183383147869
BiLSTM	downstream	8	26	0.8479557396094567	0.8721143082079369
BiLSTM	downstream	9	26	0.8785294961579572	0.8717623601578487
BiLSTM	downstream	10	26	0.8597511957886296	0.8708612238467278
BiLSTM	downstream	1	27	0.8448686597605682	0.8724200199602327
BiLSTM	downstream	2	27	0.8695327604890948	0.8728564497484049
BiLSTM	downstream	3	27	0.876324712417594	0.8748527163587371
BiLSTM	downstream	4	27	0.877437956241202	0.8722164002589055
BiLSTM	downstream	5	27	0.8710807548375297	0.8737444563300758
BiLSTM	downstream	6	27	0.8740883979580008	0.8736642408609244
BiLSTM	downstream	7	27	0.8737120390166803	0.873827412579903
BiLSTM	downstream	8	27	0.8507640297045761	0.8745091950755659
BiLSTM	downstream	9	27	0.8803936826907044	0.8736168698469141
BiLSTM	downstream	10	27	0.8631023873473281	0.8736994299551132
BiLSTM	downstream	1	28	0.8456287477269597	0.8752242509831185
BiLSTM	downstream	2	28	0.8714532185574034	0.8753795309511496
BiLSTM	downstream	3	28	0.8781271897654145	0.8755066326047178
BiLSTM	downstream	4	28	0.8801761518066509	0.8748586761309313
BiLSTM	downstream	5	28	0.8698233336563729	0.8740780371711047
BiLSTM	downstream	6	28	0.8745687567257291	0.8764362295277813
BiLSTM	downstream	7	28	0.8736927439814901	0.8743239700472395
BiLSTM	downstream	8	28	0.8489145964396356	0.8736762534135712
BiLSTM	downstream	9	28	0.8816485145687745	0.8748542095604096
BiLSTM	downstream	10	28	0.8658811834158541	0.8736132512664115
BiLSTM	upstream	1	23	0.8232632263161453	0.8494355816537321
BiLSTM	upstream	2	23	0.8469875506075892	0.8522373826877809
BiLSTM	upstream	3	23	0.8523022594430479	0.853452510301604
BiLSTM	upstream	4	23	0.8555390596929593	0.8523148072153489
BiLSTM	upstream	5	23	0.8457459445855743	0.8525882378214795
BiLSTM	upstream	6	23	0.8503641462552946	0.8501478717856663
BiLSTM	upstream	7	23	0.8503102725752579	0.8532341032031362
BiLSTM	upstream	8	23	0.8227453695561114	0.8520557766703224
BiLSTM	upstream	9	23	0.8534492726868143	0.8505874496920801
BiLSTM	upstream	10	23	0.8396523745381054	0.8511176932545528
BiLSTM	upstream	1	24	0.8278125781181955	0.8575736991885908
BiLSTM	upstream	2	24	0.8528911348172781	0.8573400176497911
BiLSTM	upstream	3	24	0.8545314784385392	0.8568619718476287
BiLSTM	upstream	4	24	0.8606338957682783	0.8575329425419975
BiLSTM	upstream	5	24	0.8492855262760322	0.8562517016336084
BiLSTM	upstream	6	24	0.8549014049351568	0.8571473285663944
BiLSTM	upstream	7	24	0.8526523864703462	0.8554226724508084
BiLSTM	upstream	8	24	0.8283080186095392	0.8585090857372469
BiLSTM	upstream	9	24	0.8626167811417956	0.858586104993354
BiLSTM	upstream	10	24	0.8451388416265578	0.8562465137154127
