model label	region	model fold	sequence length	val spearman	test spearman
XGBoost	both	1	23	0.8137247102558718	0.8432835212692205
XGBoost	both	2	23	0.8395087031639904	0.8432830826177985
XGBoost	both	3	23	0.8429403205489312	0.8435814030500995
XGBoost	both	4	23	0.8454190351469215	0.8437669556580139
XGBoost	both	5	23	0.8350241738935977	0.8433042799905822
XGBoost	both	6	23	0.8432196511220982	0.8431507822938151
XGBoost	both	7	23	0.8426616575560197	0.8432700610389227
XGBoost	both	8	23	0.8159327962746212	0.8439495662345419
XGBoost	both	9	23	0.8459139633688829	0.8438802776433134
XGBoost	both	10	23	0.8295656315920584	0.8428995338195654
XGBoost	both	1	33	0.8363761987344397	0.8646696086024795
XGBoost	both	2	33	0.8616113688614394	0.8638822568245851
XGBoost	both	3	33	0.8655107241623127	0.8642121404584276
XGBoost	both	4	33	0.8665906042075648	0.8640188881854381
XGBoost	both	5	33	0.8598926168618426	0.864736005002417
XGBoost	both	6	33	0.8647231061411091	0.8644639277878539
XGBoost	both	7	33	0.8646610402380444	0.8641902900608358
XGBoost	both	8	33	0.8410357952509587	0.8646653732633004
XGBoost	both	9	33	0.8702588084982407	0.8641168814122955
XGBoost	both	10	33	0.8524402210973332	0.8644844830946774
XGBoost	both	1	43	0.8364545803971329	0.8644607006289613
XGBoost	both	2	43	0.8615963678833481	0.8646170894826887
XGBoost	both	3	43	0.8659089504191768	0.8649552201393229
XGBoost	both	4	43	0.8665832777786501	0.8644237766359897
XGBoost	both	5	43	0.8608675794714673	0.8646603228045041
XGBoost	both	6	43	0.865131949310218	0.8646033136907892
XGBoost	both	7	43	0.8651378938853355	0.8647070798552849
XGBoost	both	8	43	0.8405315652559519	0.864466304645728
XGBoost	both	9	43	0.8702792405191839	0.8650753833491107
XGBoost	both	10	43	0.8524917853720253	0.8644817306209108
XGBoost	both	1	53	0.8367266095267105	0.8639216019758352
XGBoost	both	2	53	0.8614598047357572	0.8636737082706447
XGBoost	both	3	53	0.8635488713707344	0.8638650502871795
XGBoost	both	4	53	0.865390301993794	0.863715067573222
XGBoost	both	5	53	0.8591604606102252	0.8632411639600001
XGBoost	both	6	53	0.8636444841521089	0.8637031715111816
XGBoost	both	7	53	0.8640009202040719	0.8631872662927599
XGBoost	both	8	53	0.8390217316244035	0.8643984539032418
XGBoost	both	9	53	0.8696628674898993	0.8635737853564666
XGBoost	both	10	53	0.8526638678465357	0.8638906458336912
XGBoost	both	1	63	0.8370397411556231	0.8637940619975176
XGBoost	both	2	63	0.8614737224445632	0.8638990722598271
XGBoost	both	3	63	0.8637778575247004	0.8639224122171215
XGBoost	both	4	63	0.8656886064088013	0.8638613409495489
XGBoost	both	5	63	0.8598299229451605	0.8642817800561854
XGBoost	both	6	63	0.8631909702772125	0.8638519605321789
XGBoost	both	7	63	0.8643703327774025	0.863990128987517
XGBoost	both	8	63	0.8402435649906569	0.8641506679062471
XGBoost	both	9	63	0.8691432693697858	0.8638559599689757
XGBoost	both	10	63	0.8523065349000861	0.8643794017888485
XGBoost	downstream	1	23	0.8137247102558718	0.8432835212692205
XGBoost	downstream	2	23	0.8395087031639904	0.8432830826177985
XGBoost	downstream	3	23	0.8429403205489312	0.8435814030500995
XGBoost	downstream	4	23	0.8454190351469215	0.8437669556580139
XGBoost	downstream	5	23	0.8350241738935977	0.8433042799905822
XGBoost	downstream	6	23	0.8432196511220982	0.8431507822938151
XGBoost	downstream	7	23	0.8426616575560197	0.8432700610389227
XGBoost	downstream	8	23	0.8159327962746212	0.8439495662345419
XGBoost	downstream	9	23	0.8459139633688829	0.8438802776433134
XGBoost	downstream	10	23	0.8295656315920584	0.8428995338195654
XGBoost	downstream	1	24	0.8206545777643095	0.8528250758125454
XGBoost	downstream	2	24	0.8481781051696246	0.852429076082611
XGBoost	downstream	3	24	0.8532805011849338	0.8519587649603858
XGBoost	downstream	4	24	0.8540348306245508	0.852563249740423
XGBoost	downstream	5	24	0.8460620216540077	0.8518786183697838
XGBoost	downstream	6	24	0.8533987606519391	0.8524454247861909
XGBoost	downstream	7	24	0.8528065503695813	0.852119264285823
XGBoost	downstream	8	24	0.8284585141501196	0.8528076137148987
XGBoost	downstream	9	24	0.8548572750177683	0.8524960097956626
XGBoost	downstream	10	24	0.8389340319426043	0.8526058738403278
XGBoost	downstream	1	25	0.8249512516809849	0.8560538016682662
XGBoost	downstream	2	25	0.8521005925889111	0.8563445091638543
XGBoost	downstream	3	25	0.8561588433494024	0.8560497348123354
XGBoost	downstream	4	25	0.8576712117752675	0.8558551229307716
XGBoost	downstream	5	25	0.8498938298992766	0.8556716691352608
XGBoost	downstream	6	25	0.8565495633036421	0.8557862222720596
XGBoost	downstream	7	25	0.8572640360366549	0.8561634846124883
XGBoost	downstream	8	25	0.8316234001368382	0.8560107617997283
XGBoost	downstream	9	25	0.8587868521195825	0.8568576156004758
XGBoost	downstream	10	25	0.8420008970062592	0.8561745717502409
XGBoost	downstream	1	26	0.8292385713351718	0.8598004880885842
XGBoost	downstream	2	26	0.8565640285087277	0.8600649772875032
XGBoost	downstream	3	26	0.8610147590188917	0.8601767849744099
XGBoost	downstream	4	26	0.8612606281195492	0.8596861709707998
XGBoost	downstream	5	26	0.8545231544396721	0.8595666919388437
XGBoost	downstream	6	26	0.8604069797583149	0.8594821625073745
XGBoost	downstream	7	26	0.8605794782131593	0.8602355519994153
XGBoost	downstream	8	26	0.8361275413137468	0.8599419548585766
XGBoost	downstream	9	26	0.8636900659419091	0.8603404852774017
XGBoost	downstream	10	26	0.8468328311509853	0.8600058549571983
XGBoost	downstream	1	27	0.8305815583759537	0.8602170610750142
XGBoost	downstream	2	27	0.8573314282934483	0.8603891655095688
XGBoost	downstream	3	27	0.8620209680896583	0.8610744674472466
XGBoost	downstream	4	27	0.8627082040563607	0.8604546042070269
XGBoost	downstream	5	27	0.8560376954201814	0.8608606433078779
XGBoost	downstream	6	27	0.8618345412836845	0.8608689630911329
XGBoost	downstream	7	27	0.8615574161095959	0.8605392758634987
XGBoost	downstream	8	27	0.8358022199900835	0.8605329256600913
XGBoost	downstream	9	27	0.8650569836781458	0.8608419153742641
XGBoost	downstream	10	27	0.8483377282342602	0.8610748050233276
XGBoost	downstream	1	28	0.8303656428000923	0.86069174236478
XGBoost	downstream	2	28	0.8576154836694376	0.8613455009202461
XGBoost	downstream	3	28	0.8621632115255291	0.8608138568479663
XGBoost	downstream	4	28	0.8625986669096956	0.8609054027386438
XGBoost	downstream	5	28	0.8558821759582305	0.8612256906342033
XGBoost	downstream	6	28	0.8615698045981144	0.8605121667345925
XGBoost	downstream	7	28	0.8613599710866758	0.8608507260707315
XGBoost	downstream	8	28	0.8364458907071758	0.8604441122133814
XGBoost	downstream	9	28	0.8660371766245538	0.8607326817604611
XGBoost	downstream	10	28	0.8486535905765888	0.8613149869264911
XGBoost	upstream	1	23	0.8137247102558718	0.8432835212692205
XGBoost	upstream	2	23	0.8395087031639904	0.8432830826177985
XGBoost	upstream	3	23	0.8429403205489312	0.8435814030500995
XGBoost	upstream	4	23	0.8454190351469215	0.8437669556580139
XGBoost	upstream	5	23	0.8350241738935977	0.8433042799905822
XGBoost	upstream	6	23	0.8432196511220982	0.8431507822938151
XGBoost	upstream	7	23	0.8426616575560197	0.8432700610389227
XGBoost	upstream	8	23	0.8159327962746212	0.8439495662345419
XGBoost	upstream	9	23	0.8459139633688829	0.8438802776433134
XGBoost	upstream	10	23	0.8295656315920584	0.8428995338195654
XGBoost	upstream	1	24	0.8178259675195911	0.8475335921020213
XGBoost	upstream	2	24	0.8421279112447666	0.8468587108098332
XGBoost	upstream	3	24	0.8460390339115117	0.8472349507388837
XGBoost	upstream	4	24	0.8490115096433065	0.8472264612973938
XGBoost	upstream	5	24	0.8387005384541357	0.8470533967949653
XGBoost	upstream	6	24	0.8469725616012659	0.8474300299972429
XGBoost	upstream	7	24	0.8458568451323891	0.8468633242464041
XGBoost	upstream	8	24	0.8189292809474166	0.8474449624154676
XGBoost	upstream	9	24	0.8500301987735733	0.8475014278285117
XGBoost	upstream	10	24	0.8336734398501792	0.8472912266256684
XGBoost	upstream	1	25	0.8181506529770478	0.8478450006004385
XGBoost	upstream	2	25	0.8429597159022282	0.8472207114998299
XGBoost	upstream	3	25	0.8467471552145179	0.848046747082234
XGBoost	upstream	4	25	0.849236255040414	0.8479518900183332
XGBoost	upstream	5	25	0.8398962354667016	0.8477392748810366
XGBoost	upstream	6	25	0.8469776563167208	0.8477958920349136
XGBoost	upstream	7	25	0.8465581805417711	0.8477924107773759
XGBoost	upstream	8	25	0.8191476299072922	0.8476617248525468
XGBoost	upstream	9	25	0.8500875725020154	0.8479224407874223
XGBoost	upstream	10	25	0.8351900971722357	0.8481447670792088
XGBoost	upstream	1	26	0.818903559803214	0.8479051069135757
XGBoost	upstream	2	26	0.8433173971209434	0.8477473801309208
XGBoost	upstream	3	26	0.8465591981221869	0.8477661040436162
XGBoost	upstream	4	26	0.8495167395797015	0.8474849076222285
XGBoost	upstream	5	26	0.839609786098986	0.8473127346793582
XGBoost	upstream	6	26	0.8469471808169314	0.8472279109514812
XGBoost	upstream	7	26	0.8465521050070539	0.8477002193694898
XGBoost	upstream	8	26	0.8192769083027873	0.8474173092043266
XGBoost	upstream	9	26	0.8503710699403336	0.8474215628109694
XGBoost	upstream	10	26	0.8353097082275802	0.8475475040574849
XGBoost	upstream	1	27	0.8182907733230368	0.8474470725332188
XGBoost	upstream	2	27	0.8433107786473399	0.8472085327919712
XGBoost	upstream	3	27	0.845882814231143	0.8471779928502045
XGBoost	upstream	4	27	0.8487225567028521	0.847515759835538
XGBoost	upstream	5	27	0.8387331087464315	0.8470590337869269
XGBoost	upstream	6	27	0.8471431350919881	0.8473950638890977
XGBoost	upstream	7	27	0.8460724305676989	0.8472840668734072
XGBoost	upstream	8	27	0.8198402206005855	0.8465703907178541
XGBoost	upstream	9	27	0.8502175648852959	0.8473294003490265
XGBoost	upstream	10	27	0.8350578440303864	0.8471227067189434
XGBoost	upstream	1	28	0.817745385564789	0.8466623338174233
XGBoost	upstream	2	28	0.8424759092730818	0.8469212953806419
XGBoost	upstream	3	28	0.8460573531242839	0.8473949506338767
XGBoost	upstream	4	28	0.8482234492340601	0.8466853638193395
XGBoost	upstream	5	28	0.8385972122000785	0.8465056535423177
XGBoost	upstream	6	28	0.8461514218448903	0.8469663590008479
XGBoost	upstream	7	28	0.8462174039747408	0.8470116275112568
XGBoost	upstream	8	28	0.8185117489567987	0.8471193363486442
XGBoost	upstream	9	28	0.8488270655168354	0.8471351870451714
XGBoost	upstream	10	28	0.8339934192736427	0.8466614318310384
