category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
I-1_T,0.989779716229149,0.100823863940734,0.105197867827553,79964,I-1_T,I-1_T,0.989779716229149,0.100823863940734,0.105197867827553
I-1_A,0.987458407226731,0.0993804733429659,0.104490303558055,79964,I-1_A,I-1_A,0.987458407226731,0.0993804733429659,0.104490303558055
I-1_C,0.96757532221767,0.0475785158332801,0.0498413837134218,79964,I-1_C,I-1_C,0.96757532221767,0.0475785158332801,0.0498413837134218
I-1_G,0.904802595916543,0.0142773009443828,0.0151524421600282,79964,I-1_G,I-1_G,0.904802595916543,0.0142773009443828,0.0151524421600282
I-2_CG,0.775123432459729,0.00106980871609142,0.00110255289011495,79964,I-2_CG,I-2_CG,0.775123432459729,0.00106980871609142,0.00110255289011495
I-2_TG,0.755526136247904,0.00153526336527728,0.00160559711399229,79964,I-2_TG,I-2_TG,0.755526136247904,0.00153526336527728,0.00160559711399229
I-2_TA,0.726569276315723,0.00112758604708761,0.00116470406517699,79964,I-2_TA,I-2_TA,0.726569276315723,0.00112758604708761,0.00116470406517699
I-2_AA,0.715585883629224,0.00222937202143781,0.0023659775587426,79964,I-2_AA,I-2_AA,0.715585883629224,0.00222937202143781,0.0023659775587426
I-2_TC,0.700276784611733,0.000892855871002004,0.000903156146812705,79964,I-2_TC,I-2_TC,0.700276784611733,0.000892855871002004,0.000903156146812705
I-2_AT,0.666507302453893,0.00107032515431057,0.00105319398241057,79964,I-2_AT,I-2_AT,0.666507302453893,0.00107032515431057,0.00105319398241057
I-2_TT,0.644320139445389,0.0019051062060891,0.00199694251296055,79964,I-2_TT,I-2_TT,0.644320139445389,0.0019051062060891,0.00199694251296055
I-2_AG,0.644167227195754,0.00105422578543029,0.00107608647302315,79964,I-2_AG,I-2_AG,0.644167227195754,0.00105422578543029,0.00107608647302315
I-2_CA,0.607948686633507,0.00142273746980511,0.0014191520540653,79964,I-2_CA,I-2_CA,0.607948686633507,0.00142273746980511,0.0014191520540653
I-2_CT,0.578119420822594,0.000937495226758886,0.000930687076547876,79964,I-2,I-2,0.437730762057188,0.00439693041659346,0.0043853945610108
