model label	model fold	val spearman	test spearman
BiLSTM	1	0.8807269608022167	0.8807522629338722
BiLSTM	2	0.8951913700191072	0.8807806059494906
BiLSTM	3	0.899261591161014	0.8816958792392253
BiLSTM	4	0.9056865766617817	0.8797448551228965
BiLSTM	5	0.8952252094323603	0.8819803794146553
BiLSTM	6	0.8775741231463976	0.8807652138799
BiLSTM	7	0.8517002139906794	0.8831839257365137
BiLSTM	8	0.8572625255161666	0.8792926797280171
BiLSTM	9	0.8697330822046045	0.8830724758001868
BiLSTM	10	0.8572637355357416	0.8807287345751834
CNN	1	0.8477036555079166	0.8532447488429572
CNN	2	0.8695365084812692	0.8546584870291882
CNN	3	0.8734666995863781	0.8542273231644759
CNN	4	0.8770699262607704	0.8525786515100828
CNN	5	0.8639362092004385	0.8516645063404241
CNN	6	0.8513273242838972	0.8557389274669227
CNN	7	0.8240284103372376	0.8531067977762921
CNN	8	0.8301238429407961	0.8532385285223876
CNN	9	0.8397341745549657	0.8528527156664474
CNN	10	0.8282121279448084	0.8518478974598797
Lasso	1	0.664514174210058	0.6871886714130477
Lasso	2	0.7086408695124848	0.6874558980553898
Lasso	3	0.7109056658175684	0.6874744480809699
Lasso	4	0.6972367153407628	0.6877537341140899
Lasso	5	0.6905023670193672	0.6876325846730331
Lasso	6	0.6846597939229737	0.6875753154640485
Lasso	7	0.6595638436690323	0.687456023290569
Lasso	8	0.6473489677915529	0.68755680943589
Lasso	9	0.6450868311616246	0.6878041690249472
Lasso	10	0.6349257143275213	0.6875596631130805
Ridge	1	0.6645140191344783	0.6871882135595029
Ridge	2	0.7086412616585521	0.6874550190281384
Ridge	3	0.7109028265591242	0.6874737968535742
Ridge	4	0.6972341478650488	0.6877539565858426
Ridge	5	0.6905014605897687	0.6876335772828673
Ridge	6	0.6846600996490231	0.6875754088801124
Ridge	7	0.6595667342345489	0.6874558885530508
Ridge	8	0.6473502822695477	0.6875565054460793
Ridge	9	0.6450909521377158	0.6878065340159937
Ridge	10	0.6349266091686454	0.6875608417116188
Elastic	1	0.6645160508278702	0.6871884162375507
Elastic	2	0.7086385341181469	0.6874544904512336
Elastic	3	0.7109031110587071	0.6874727916658149
Elastic	4	0.6972337813286975	0.6877534923822711
Elastic	5	0.6905019990285897	0.6876311480966115
Elastic	6	0.6846578910530112	0.6875745551499404
Elastic	7	0.6595640242072607	0.6874553434460297
Elastic	8	0.6473475791448213	0.6875558355296194
Elastic	9	0.6450883480148341	0.6878052153405891
Elastic	10	0.6349231189539585	0.6875593618507849
Random_Forest	1	0.7201864179228116	0.733951144884494
Random_Forest	2	0.7546968455366716	0.7339975977300655
Random_Forest	3	0.7506777191791169	0.7344212339225653
Random_Forest	4	0.7491373616018864	0.7340639569557069
Random_Forest	5	0.7385280288271908	0.7338825839680588
Random_Forest	6	0.7300639289147203	0.733896352273557
Random_Forest	7	0.7042880845666509	0.7341046348073129
Random_Forest	8	0.7099195586462393	0.7338806009323503
Random_Forest	9	0.7079064415885863	0.7341885775989955
Random_Forest	10	0.6985619856687584	0.7338461960002899
MLP	1	0.8137294917351637	0.8257412460050179
MLP	2	0.8427711488819111	0.8254428925451398
MLP	3	0.8450432082705036	0.8261270446928499
MLP	4	0.8487891401751682	0.8257256168644769
MLP	5	0.8397084470104094	0.8310737734764986
MLP	6	0.8245532569464834	0.8285148684527759
MLP	7	0.7974312713321461	0.8260118291301543
MLP	8	0.8020621325986594	0.8248429148162925
MLP	9	0.8130542733421797	0.8290870776283789
MLP	10	0.8022445215577325	0.8277894093622277
GBDT	1	0.8389751473754642	0.8455514034491991
GBDT	2	0.8597680708685851	0.8455878429523881
GBDT	3	0.8632283299176411	0.8459861901267806
GBDT	4	0.8669649844373659	0.8453015698465933
GBDT	5	0.8563986336055199	0.8459039370364766
GBDT	6	0.8421116088314484	0.8466628176126864
GBDT	7	0.8152096370533598	0.845580527180162
GBDT	8	0.8228676601654528	0.8462104854490553
GBDT	9	0.830989489027581	0.8454480966275636
GBDT	10	0.8200775497077191	0.8459923137233449
XGBoost	1	0.8468710846843341	0.8515187709220425
XGBoost	2	0.866083729641061	0.8516891732150592
XGBoost	3	0.8680617329104071	0.8516982865949597
XGBoost	4	0.8734776471714669	0.8517848127049937
XGBoost	5	0.8617536204747733	0.8515901169362259
XGBoost	6	0.8491534728486507	0.8521950601042347
XGBoost	7	0.8228802680563746	0.8515281832153857
XGBoost	8	0.8278582566142156	0.8519436484029027
XGBoost	9	0.8376143371257999	0.8522872091466139
XGBoost	10	0.8264960743633167	0.8531360377505176
